donor_id,first_name,last_name,email,city,total_donations,avg_donation_amount,donation_frequency,days_since_last_donation,donation_consistency,largest_donation,smallest_donation,campaigns_participated,volunteer_hours,referrals,will_donate_again
DON185632,Karen,Green,karengreen27@icloud.com,Philadelphia,3,77.47,3.0,112,0.57,170.12,38.44,4,82,10,1
DON126811,Kenneth,Thomas,kenneth_thomas44@hotmail.com,Seattle,9,45.27,9.0,152,0.65,108.14,18.06,9,8,4,1
DON259350,Margaret,Rivera,margaret_rivera38@outlook.com,Charlotte,2,20.99,1.35,539,0.39,58.3,8.82,8,44,8,0
DON526921,George,Wright,george_wright66@hotmail.com,Columbus,2,73.42,1.19,614,0.28,141.84,31.18,4,46,7,0
DON869019,Jessica,Rodriguez,jessicarodriguez71@icloud.com,Philadelphia,35,997.82,35.0,6,0.89,2988.73,327.09,9,74,6,1
DON579903,Thomas,Anderson,thomasanderson28@yahoo.com,Chicago,12,217.88,12.0,45,0.67,584.99,131.77,1,6,4,1
DON154741,Jane,Lewis,jane.lewis61@hotmail.com,New York,4,33.18,3.41,428,0.03,78.03,14.01,10,80,15,0
DON472397,Karen,Wilson,karenwilson38@email.com,Columbus,9,195.63,9.0,132,0.7,482.28,84.44,7,57,11,1
DON606303,Steven,Miller,steven.miller92@icloud.com,Dallas,4,159.28,4.0,229,0.48,467.22,91.01,10,30,13,0
DON398477,Ronald,Johnson,ronald.johnson63@gmail.com,Boston,5,106.89,5.0,156,0.53,320.32,33.35,1,67,8,1
DON367651,Paul,Scott,paul.scott97@gmail.com,San Jose,1,211.35,1.0,244,0.4,566.84,79.74,4,38,1,1
DON192823,Nancy,Rodriguez,nancyrodriguez67@outlook.com,Phoenix,1,223.32,1.0,96,0.12,479.67,96.35,0,51,10,0
DON691890,Ronald,Garcia,ronald.garcia97@yahoo.com,San Francisco,3,75.05,3.0,14,0.39,191.61,34.54,5,72,14,1
DON811198,Timothy,Torres,timothy_torres5@gmail.com,Las Vegas,3,13.13,3.0,68,0.5,38.14,4.27,4,86,4,1
DON387793,Betty,Davis,bettydavis35@hotmail.com,Seattle,1,18.89,1.0,314,0.09,37.25,5.87,9,70,13,0
DON415429,Brian,Lopez,brianlopez41@gmail.com,New York,5,156.05,5.0,359,0.45,345.4,72.32,10,66,4,1
DON925110,George,Sanchez,george_sanchez3@gmail.com,Philadelphia,1,24.01,0.88,414,0.28,67.06,14.4,5,7,7,0
DON404730,Michelle,Sanchez,michelle_sanchez10@gmail.com,New York,8,217.63,8.0,95,0.55,552.37,144.41,2,75,1,1
DON167257,Lisa,Jones,lisajones26@gmail.com,Nashville,3,19.72,3.0,163,0.36,41.52,11.79,0,71,7,1
DON142274,Thomas,Clark,thomasclark86@outlook.com,Las Vegas,29,1144.86,29.0,55,0.89,2758.2,727.27,8,33,4,1
DON892125,Donald,Moore,donaldmoore73@gmail.com,Boston,1,17.07,1.0,342,0.12,32.72,6.66,3,1,2,0
DON886700,Matthew,Nguyen,matthew_nguyen82@email.com,Dallas,35,947.62,35.0,24,0.8,1817.35,469.95,4,8,3,1
DON108496,Kevin,Mitchell,kevinmitchell58@hotmail.com,Austin,3,115.25,3.0,178,0.56,251.68,78.56,2,24,10,1
DON398825,Anthony,King,anthonyking68@email.com,Philadelphia,15,88.58,15.0,46,0.64,183.48,45.67,7,80,9,1
DON146350,Paul,Hernandez,paulhernandez52@hotmail.com,Dallas,13,166.04,13.0,170,0.66,470.69,65.57,6,38,14,1
DON813893,Lisa,King,lisa_king58@icloud.com,Denver,5,126.57,5.0,317,0.59,222.69,62.57,7,45,14,1
DON596500,David,Perez,david.perez43@yahoo.com,Indianapolis,3,117.0,3.0,161,0.55,285.99,37.21,6,30,12,1
DON926600,Kimberly,Wright,kimberly.wright57@yahoo.com,Denver,16,421.01,16.0,30,0.88,1032.59,197.97,8,86,7,1
DON636459,Patricia,Adams,patricia.adams40@email.com,Charlotte,2,184.54,2.0,83,0.38,277.01,73.07,7,75,2,1
DON188884,Donna,Lee,donnalee24@email.com,Seattle,11,168.44,11.0,84,0.55,405.58,77.65,10,67,3,1
DON117665,Steven,Wright,steven_wright16@gmail.com,Memphis,3,35.51,3.0,262,0.42,61.67,18.78,9,25,3,0
DON257263,Thomas,Clark,thomas_clark18@gmail.com,New York,3,20.26,3.0,303,0.17,54.9,10.29,3,87,7,0
DON249736,Jane,Green,jane.green63@email.com,Dallas,5,163.27,5.0,132,0.74,394.81,50.97,1,58,2,1
DON640916,John,Ramirez,johnramirez1@icloud.com,Nashville,1,58.78,1.0,260,0.14,119.09,38.95,9,56,11,0
DON838853,Barbara,White,barbarawhite92@yahoo.com,Philadelphia,4,77.18,4.0,168,0.34,119.71,35.44,8,62,6,1
DON343192,Karen,Mitchell,karen.mitchell36@email.com,Nashville,7,231.39,7.0,166,0.71,597.73,81.3,0,63,13,1
DON203171,Elizabeth,Campbell,elizabethcampbell87@hotmail.com,San Francisco,18,832.93,18.0,46,0.96,1660.42,549.86,1,50,0,1
DON442626,Carol,Perez,carol.perez50@outlook.com,Detroit,4,28.28,4.0,227,0.51,76.31,15.63,1,54,2,0
DON319616,Margaret,Taylor,margaret_taylor31@email.com,Nashville,44,308.22,44.0,22,0.87,562.51,154.6,5,4,5,1
DON862836,Carol,Walker,carol.walker28@icloud.com,Austin,26,242.92,26.0,27,0.87,424.13,95.92,9,52,9,1
DON160421,Edward,Clark,edwardclark6@yahoo.com,Nashville,2,51.81,2.0,265,0.24,105.28,26.41,10,74,1,0
DON731813,Nancy,Jackson,nancy_jackson30@email.com,Seattle,28,336.83,28.0,60,0.96,668.59,119.96,8,76,10,1
DON233864,Barbara,King,barbara.king49@email.com,Columbus,40,794.35,40.0,43,0.89,1308.99,537.91,1,79,11,1
DON849730,Kevin,Gonzalez,kevin.gonzalez36@email.com,Columbus,24,666.38,24.0,6,0.97,1650.28,337.18,7,79,10,1
DON710272,Jason,Rivera,jason.rivera9@yahoo.com,Austin,14,35.27,14.0,61,0.62,54.54,21.14,5,17,6,1
DON607897,Mary,Gonzalez,mary.gonzalez89@icloud.com,Austin,32,274.37,32.0,25,0.87,754.94,187.08,9,96,13,1
DON898637,Patricia,Allen,patricia.allen85@email.com,Philadelphia,48,689.24,48.0,39,0.85,1579.29,252.49,1,21,14,1
DON829651,Edward,Perez,edward.perez25@email.com,San Francisco,5,228.54,5.0,30,0.7,602.97,96.44,3,63,9,1
DON698274,Kenneth,Lee,kenneth.lee24@icloud.com,Boston,1,58.26,0.84,437,0.25,120.58,31.18,8,58,9,0
